MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
2792,0,100,9,3,42,160,4,322
2793,0,232,19,6,85,487,8,844
2794,18,3018,203,21,673,4585,55,8574
2795,180,14580,778,84,2934,15422,209,34190
2797,0,132,7,0,50,154,0,346
2798,8,689,50,5,229,576,5,1566
2799,18,1396,67,9,267,1508,29,3301
2800,199,16026,736,84,2931,15196,198,35382
2803,0,70,7,0,37,120,5,243
2804,6,740,55,11,253,1046,24,2136
2805,0,114,3,0,36,158,0,314
2806,0,232,15,6,68,325,10,658
2807,0,81,6,0,44,223,0,359
2808,0,44,4,0,12,106,0,171
2809,0,36,12,0,29,116,6,193
2810,6,790,94,11,333,1361,24,2624
2817,0,75,10,3,71,76,7,238
2818,5,316,6,9,72,253,4,668
2820,17,1616,151,22,395,3798,46,6035
2821,11,1404,107,23,343,1821,33,3735
2822,3,141,6,0,45,156,0,354
2823,3,368,54,9,129,560,8,1141
2824,0,622,55,13,163,868,14,1743
2825,55,698,90,6,158,870,15,1889
2826,0,52,7,0,37,58,0,156
2827,0,1006,116,12,318,1530,20,3005
2828,0,141,34,10,102,367,4,652
2829,8,821,80,17,201,1312,23,2471
2830,158,15412,628,81,2314,12980,185,31765
2831,7,539,51,13,261,594,16,1490
2832,5,574,127,17,156,1042,26,1951
2833,4,127,29,9,41,291,6,506
2834,3,457,62,8,110,1344,12,1995
2835,16,1321,135,19,327,1404,37,3254
2836,0,125,59,8,73,419,7,698
2838,3,44,19,0,16,109,0,187
2839,3,238,95,6,52,629,6,1025
2840,5,674,168,21,151,1030,13,2066
2842,0,141,24,0,68,263,8,502
2843,0,321,66,9,115,509,14,1032
2844,0,291,38,4,121,701,7,1165
2845,17,613,12,5,101,792,6,1543
2846,0,57,8,0,20,144,0,230
2847,9,662,22,4,119,1182,15,2011
2848,0,291,22,0,73,993,11,1390
2849,9,379,37,8,130,718,10,1292
2850,39,5664,334,31,1320,6487,114,13987
2852,4,956,76,8,277,1442,12,2775
2864,0,247,21,3,91,268,13,640
2865,6,270,16,3,76,316,8,697
2866,8,934,75,16,264,1082,9,2384
2867,4,163,20,5,68,204,6,464
2868,0,149,18,9,68,268,8,523
2869,0,300,65,13,126,697,14,1211
2870,50,3717,243,29,800,4649,51,9540
2871,43,2845,197,28,663,3617,51,7446
2873,4,126,22,4,71,234,0,457
2874,4,91,24,5,69,159,5,359
2875,5,230,25,7,110,381,7,779
2876,0,86,15,0,55,161,0,320
2877,21,1083,128,20,265,1459,32,3000
2878,0,79,32,5,42,149,0,312
2879,0,90,29,3,29,367,10,521
2880,63,5471,411,36,1131,8003,101,15216
2898,0,70,103,6,40,99,4,329
3000,6344,1585,6008,87,1873,20712,153,36764
3002,681,886,926,25,483,1637,28,4662
3003,919,742,957,25,365,2078,27,5123
3004,1862,1798,899,38,700,3407,41,8743
3005,67,65,77,6,36,225,4,481
3006,3287,2516,3802,79,1063,7104,58,17904
3008,2074,1406,1428,40,637,4055,59,9700
3010,107,43,247,8,293,887,0,1583
